0;Мне тут нравится. *далее Гордон молчит*;
;И это все?;1
;Понятно. Думаю, тут и закончим.;-1
1;А… а что еще?;
;Как тебе коллеги по работе?;2
;То есть работа в космосе — это так, чепуха, не достойная даже упоминания?;4
;Вроде бы не каждый ученый в этом мире работал на «Авроре-2».;5
;Да нет, ничего. Закончим на этом.;-1
2;Прекрасные люди и умнейшие ученые! С ними удивительно ув-в-влекательно работать! Доктор Фишерман недавно в-в-в… *Гордон хихикает* выкрасил лабораторную кошку в синий цвет!;scientist_dialog_happy
;Ух ты. А зачем?;3
3;Как зачем? *Гордон широко открыл один глаз и сощурил второй* Была обычная кошка, а стала синяя. Переполох был. Весь день пыы…п-п-ытались понять, в чем дело. Только к вечеру доктор Фишерман все-таки признался! *Гордон опять хихикает*;scientist_dialog_happy
;То есть работа в космосе — это так, чепуха, не достойная даже упоминания?;4
;Вроде бы не каждый ученый в этом мире работал на «Авроре-2».;5
;Закончим на этом.;-1
4;Я… я уже работал на МКС-34. Космос для меня привычен.;
;Вроде бы не каждый ученый в этом мире работал на «Авроре-2».;5
;Как тебе коллеги по работе?;2
;Закончим на этом.;-1
5;*Гордон кивает* Да. Мне тут нравится. Отличное оборудование, баз-з-за данных, в-возможности… И столько материалов! Инопланетяне, другие планеты… Это… это прекрасно. На Земле, п-признаюсь, было скучнее.;
;Как тебе коллеги по работе?;2
;То есть работа в космосе — это так, чепуха, не достойная даже упоминания?;4
;Да нет, ничего. Закончим на этом.;-1
