0;Я з-знаю. Нам придется тяжело.;
;Почему ты так считаешь?;1
1;Зорсаны - серьезный противник. Судя п-п-по всему, нам придется просить помощи у других разв-в-витых инопланетных народов.;
;То есть, ты считаешь, что сами мы не справимся?;2
;Ты считаешь, что им можно доверять?;3
;Разумное мнение. Хорошо, что я его слышал. Конец связи.;-1
2;Не… нет… я не то… так будет с-с-сложнее. Опаснее. Больше ж-жертв.;
;Ты считаешь, что им можно доверять?;3
;Разумное мнение. Хорошо, что я его слышал. Конец связи.;-1
3;Можно и не довв-верять, но справимся ли мы сами? Я не так самонадеян. Я оп…опасаюсь. Но не боюсь.;
;То есть, ты считаешь, что сами мы не справимся?;2
;Разумное мнение. Хорошо, что я его слышал. Конец связи.;-1
