0;*Мартан Килмови, твой непосредственный начальник, смотрит на тебя. Вполне возможно, что он скучает. А может быть и нет, трудно сказать. У него очень усталые глаза. От жилетки и рубашки пахнет сильным запахом типичного мужского одеколона* Капитан, рад вас видеть. Докладывайте.;
;Так точно. Докладывать придется достаточно много, если уж так говорить. Это разговор не одного часа.;1
1;*качает головой* Плохо. Журналисты уже выстроились в очередь, и если не дать им тебя, то они пойдут на штурм.;
;Мартан… сэр, кстати насчет этого. Что мне можно говорить? Чего говорить нельзя?;2
2;*Килмови качает головой* Это зависит от того, что вам удалось узнать. Точно могу сказать только то, что про Аврору-1 лучше помалкивать в любом случае. А так… черт возьми. Это ты у нас герой мирового масштаба, я-то что могу тебе посоветовать?;
;Жаль. Не так оно и просто будет, как мне кажется.;3
3;Увидим. Тебе пора идти. Удачи, и, да. Твое место за общим столом - все еще твое.;
;А твоя жена все так же таскает сюда выпечку?;4
4;*смеется* Конечно. Некоторые вещи никогда не меняются.;
;Ну, хоть что-то хорошее….;-1
