0;Неизвестный корабль без маркировки, кто вы? Что вам надо?;;
;Странный шар синего цвета. Еще он светится. Он обосновался на моем корабле, и я соверешенно не представляю, что с этим делать. Вы знаете, что это такое?;101;energy_sphere.started
;Корабль «Аврора», планета приписки — Земля. Мы ищем ваш главный мазершип. ;1;
;Нет, ничего, просто проверка связи.;-1;
1;Странным образом вы его ищете… Самый большой корабль. Конец связи.;;
;Действительно, сглупил. Конец связи.;-1;
101;*бродяга морщится* Я знаю, что это такое… Он обосновался возле какой-то техники?;;
;Точно. Что вы можете сказать?;102;
102;У меня был такой случай… Он избрал мой штурманский компьютер. Я выкинул его в открытый космос.;;
;Неужели совсем нет выхода?;103;
103;Если он и есть, то вам придется поискать. Я не нашел.;;
;Ладно. Спасибо за совет. Конец связи.;-1;
