0;*О, надо же. Вызывает Гордон.*;
;В чем дело?;1
1;К-к-капитан. *Гордон кивает, приветствуя* Мы исследовали убитое нашим отрядом животное. Это действительно клиск, капитан.;
;Клиск размером с гиппопотама и плюющийся притом кислотой? Надо же.;2
2;Не надо с-с-скептицизма! Ошибок быть не может, я лично ассистировал доктору Штольцу во время вивисекции!;scientist_dialog_scared
;Тогда как это может быть клиском?;3
;Не обижайся, я просто очень сильно удивлен. Что вам удалось установить?;3
3;*Гордон все еще немного дуется, поэтому говорит коротко и отрывисто* Строение тела почти аналогично клисковому. Точно такое же строение эпителия, выделение слизи. Схожий мозг, схожий скелет. Схожие слуховые усики. Дальше уже идут отличия.;
;Ну?;4
4;Прежде всего — симметрично расположенные железы, которые и выделяют кислоту. Механизм действия очень похож на тот, который изучен на примере Brachius sp… *Гордон осекается* На примере жука-бомбардира, конечно же, извините. Проще говоря, две железы выделяют компоненты кислоты, компоненты смешиваются, и кислота выплескивается наружу. Вот. Еще могу сказать, что это существо было очень сильным. Если бы наши люди действовали менее расторопно, оно вполне могло убить их всех.;
;Вот тебе и клиск. Так что скажешь, Гордон? Как этот монстр вообще появился на той планете? Почему он так похож на клиска?;5
5;*Разведя руками, Гордон потирает очки* Ясно лишь, что это создание определенно родом не с той планеты. Штучный экземпляр, других таких наш сканер не засек. Более мы ничего узнать не смогли. *Секунд десять поразмышляв, Гордон, наконец, говорит* У меня все, капитан.;scientist_dialog_puzzled
;Негусто. Но вы сделали все, что смогли. Конец связи, Гордон.;6
6;Так точно, капитан. *прежде чем отключиться, он добавляет* Может быть, стоит показать добытые нами данные клискам? Наверняка их это заинтересует!;
;Может быть, и стоит. Я подумаю, Гордон.;-1
