0;Вас приветствует досмотровый первого класса. Кто вы? Ваш корабль не значится ни в одном реестре.;zorsan_dialog;
;Аврора-2, приписан к планете Земля. Я представитель народа землян. Прибыл к вам с дипломатической миссией.;1;
1;О. *голос удивленный* Я не уполномочен вести такие переговоры. Я должен? отойти. Вы должны ждать.;zorsan_dialog;
;Сколько ждать?;2;
2;"*ответа нет, но и связь не отключена. Тишину приходится слушать почти десять минут, только потом кто-то наконец подключается к линии* Вас приветствует главный досмотровый планеты *название произносимое им очень неразборчиво. Единственное, что удается разобрать, это слово ""Зорсан""*, но чужаки, подобные вам, называют ее Зорсан. Кто вы?";;
;Досмотровый?;3;
;Корабль Аврора-2, с Земли. Я представляю мой народ, мы новички в космосе. У нас дипломатическая миссия.;4;
3;Я наблюдаю за досмотровыми более низкого чем я ранга. Они - досматривают корабли, которые допускаются до посадки.;;
;Мой корабль называется Аврора-2, с Земли. Я представляю мой народ, мы новички в космосе. У нас дипломатическая миссия.;4;
4;Да, я знаю об этом. У меня есть инструкции на этот счет. Вам разрешат посадку, если вы согласитесь соблюдать некоторые условия.;;
;Какие же?;5;
5;Первое - вы должны уважительно относиться к народу зорсан. Это основное правило, и его должны соблюдать все. ;;
;Вполне логично, но зачем это упоминать? Мне кажется, это очевидно.;6;
6;Хорошо, что вам так кажется. Второе. Не более десяти представителей. Третье - никакого боевого оружия с собой.;;
;Хм. Хорошо. Что дальше?;7;
7;Четвертое. Капитан судна лично должен вести переговоры. И на этом все. Вы считаете возможным соблюдение этих условий?;;
;Конечно.;8;
;Знаете?. Я пока повременю. Мне необходимо провести совещание. Конец связи.;-1;
8;В таком случае вы можете начинать посадку. Код доступа у вас запросят при входе в верхние слои атмосферы. Он уже переслан вам. Конец связи.;;
;Хорошо. Конец связи.;-1;1
