0;"*На этот раз камень встречает тебя буквально в лоб.* ""Капитан, я многое обдумала. Всё то, ради чего живёте вы, и ради чего должна жить я.""";
;"""Я рад, что ты к чему-то пришла. И что же?""";1
1;"""Мне больше нечего делать на Авроре. Мне хочется побыть ещё, но… Это нечестно. Это лицемерно. Это лишняя трата времени. Я поняла, что должна делать, и… всё.""";
;"""Так что же ты поняла? Я хочу узнать.""";2
;"""Хорошо. Мы доставим тебя на твою планету.""";3
2;"""Жизнь - мимолётна. Даже для такого существа, как я. Очень скоро дни начнут пролетать секундами, месяцы - десятками секунд, годы - минутами… И я не могу позволить себе потратить это ни на что. У меня есть почти всё время мира, так? У вас его нет, но вы живёте не зря. Я тоже не хочу жить зря.""";
;"""Хорошо. Мы доставим тебя на твою планету.""";3
3;"""Нет. Я… Хочу другое.""";
;"""Что?""";4
4;"""Я хочу в открытый космос. Я знаю, что не могу отдать вам деньги за терминал и за ваше гостеприимство, но… ведь вы же получили какие-то научные данные исследуя меня, так? Остальное вам придётся простить, мне больше нечего дать, но… космос, я хочу в космос...""";
;"""Слушай, я знаю, что ты там не умрёшь. Но я всё равно не могу понять зачем?""";5
5;"""Я хочу исследовать его. Я хочу увидеть его. Каждый день лететь вдаль и видеть что-то новое. Если я упаду на планету - я расколюсь и дам начало многим. Если нет… я просто смогу жить. Жить с целью.""";
;"""Не лучше ли вернуться на родную планету, попытаться чему-то научить своих сородичей?""";6
6;"""Чему я могу их научить? Они слишком привыкли к тому, кто они есть. А я одна. Всего лишь одна.""";
;"""Ну… а остаться тут? Чем плохо?""";7
7;"""Не буду врать, жить долго - интересно, капитан людей. Но я переживу вас. Вас всех. Я переживу даже Аврору. И это будет очень неприятно… Пожалуйста. Просто выгрузите меня в открытый космос. Где угодно. И всё.""";
;"""Я мог бы отказаться… но не буду. Это твой выбор. Очень глупо было бы идти на принцип. Все мы привыкли к тебе и уважаем твоё мнение. Я дам тебе знать, как буду готов.""";-1
