0;*Целых три часа понадобилось для того, чтобы состыковать корабли. Еще сорок минут вы решали, где проводить основную часть застолья. В конце концов, собрались в огромной столовой «Авроры». Клиски едят свое. Люди — свое. Общение идет со скрипом, ведь и тем, и другим непривычны такие соседи. Но все же коммуникация налаживается.*;interior_dialog
;…;1
1;*После официальной части Длороу лично показывает вам свой корабль. Транспортник, тяжело бронированный и сильно вооруженный. Экскурсия заканчивается в капитанском кабинете.* А это — мозг моего корабля. Мой кабинет.;
;Хм. А он большой.;2
2;Точно. *Длороу располагается за своим столом, мягко опуская антигравитационную платформу* Когда сорок процентов твоего тела — летающая железка, то тебе нужно много места. Вы пьете?;
;Что?;3
3;Я узнавал о вас, о людях… Этанол. Мы тоже употребляем его для одурманивания. Люди пьют этанол. Но не все. Вы пьете?;
;Наливайте.;4
;Не употребляю, но, пожалуй, с вами немного можно.;4
;А, я… Нет, я не употребляю, спасибо. Мне чего-нибудь безалкогольного.;5
4;*Длороу достает из шкафчика в столе небольшой кувшин. Наливает в два бокала. Судя по запаху, слабое вино.* При основной команде это было бы неэтично. Им же нельзя. Ну… *Длороу примеривается выпить* За успех дела.;
;И за удачу. На нас никто не напал, в конце концов.;6
5;*Длороу наливает себе какое-то подобие вина, а тебе что-то типа фруктового сока. Кисло, с легкой горчинкой.* За успех дела.;
;Да, действительно. Я рад, что на нас никто не напал.;6
6;Ха. *Длороу пытается насмешливо щелкать, но не может, снова сбивается на надрывное кряхтенье* Вы чего? Космос — очень спокойное место. Особенно если перевозить всякий мусор. Вы что, решили, что если вам дали оружие, то из него обязательно надо стрелять?;
;Но зачем тогда охранник, если не было опасности нападения?;8
;Что-то не похоже, что ваше недомогание уже прошло.;7
7;Пройдет. Просто…;
;Ладно. Но зачем тогда охранник, если не было опасности нападения?;8
8;Если бы на нас все же напали, но охранника при нас не было, потом мне не выплатили бы страховку. Только и всего. Кроме того… *голос Длороу приобретает почтительные нотки* В Кодексе сказано, что лучше проявить слишком много старательности и немного сглупить, чем не проявить ее вовсе и потерять все. Сейчас все прошло вполне неплохо, и скоро мы уже будем на месте. Ведь так могло и не быть.;
;Что-то не похоже, что ваше недомогание уже прошло.;7
;Кодекс. Клиски очень часто упоминают его. Я так и не смог понять, что же это такое?;9
9;Да? И не пытайтесь. Мало кто понимает. Кодекс — это Кодекс. Благодаря ему мы те, кто мы есть.;
;Неужели? Это очень походит на религию или какой-то другой свод правил.;10
10;Вы слишком поверхностно все воспринимаете, капитан людей… *Длороу допивает свой бокал, наливает еще* Вы воспринимаете Кодекс как нечто строгое. Нечто, что неизменно. Я… не знаю, как выразиться. Это просто не так.;
;Стоп-стоп-стоп. Тогда что же он есть такое, ваш Кодекс? Книга? Свиток? Вы торгуете с помощью него, но как вы это делаете? Все выглядит очень нелогично.;11
11;*Длороу хрипит, но потом улыбается* Мы заговорили о торговле. Тут я могу ответить подробнее. *Длороу отпивает из бокала* На самом деле все очень просто. Подобным на подобное, не больше и не меньше. Сможет понять кто угодно. Вот, к примеру, что есть у нас: детали для переработки и инструменты. Обмен подразумевает такое же количество деталей и инструментов, которые требуются на Клискаде. Однако если нужного количества или вида товара нет, то нужно брать деньгами. Ничем иным, ибо это запрещено Кодексом.;
;Хм. А оружие? Технологии?;13
;И много денег вы бы взяли?;12
12;Нет, что вы. У меня обычные товары, за них много брать нельзя.;
;Что насчет микросхем и деталей для станков?;13
13;То же самое. Подобным на подобное. Либо деньги.;
;Все звучит просто. Но Кодекс ведь не только торговый. Он регулирует и вашу обычную жизнь.;14
14;Как же вы не поймете? *Длороу злится* Не регулирует! Просто… *Он кашляет еще сильнее. Резким взмахом опустошает бокал, а затем показывает, что разговор закончен.* Хватит об этом. Я не в том состоянии, чтобы говорить на такие темы.;
;Не буду отнимать ваше время. Выздоравливайте.;-1
